#Buckets,Keys 1 - rep 1,Keys 1 - rep 2,Keys 1 - rep 3,Keys 3 - rep 1,Keys 3 - rep 2,Keys 3 - rep 3,Keys 6 - rep 1,Keys 6 - rep 2,Keys 6 - rep 3,Keys 9 - rep 1,Keys 9 - rep 2,Keys 9 - rep 3
10.0,13,7,10,14,17,13,25,19,22,33,25,21
10.1,14,8,10,5,15,11,21,23,25,25,18,17
10.2,8,3,18,13,13,10,14,18,9,23,14,17
10.3,6,8,9,11,7,6,11,14,11,33,24,26
10.4,9,7,4,8,7,11,17,16,9,16,19,17
10.5,7,13,13,10,4,5,19,9,10,10,20,12
10.6,8,7,16,8,12,4,14,9,13,13,20,10
10.7,6,2,6,13,6,4,7,16,4,12,17,17
10.8,7,5,3,8,9,9,11,15,12,7,10,16
10.9,8,5,7,6,11,7,8,14,11,10,8,7
11.0,10,6,6,16,4,10,7,7,8,11,8,10
11.1,6,9,6,8,10,8,9,10,11,7,9,13
11.2,3,12,3,5,10,13,7,4,9,4,12,5
11.3,0,4,4,6,9,9,8,5,6,5,13,9
11.4,2,5,3,9,6,9,4,2,6,13,6,4
11.5,4,2,6,6,11,6,8,4,7,7,5,9
11.6,4,3,4,8,5,1,8,5,5,6,9,5
11.7,4,1,2,5,5,10,6,10,3,7,8,5
11.8,3,6,8,8,4,5,3,10,3,2,7,3
11.9,1,5,4,5,9,6,3,4,2,5,1,6
12.0,4,1,7,7,10,9,5,0,5,6,7,7
12.1,1,3,5,7,8,4,5,3,1,8,5,3
12.2,3,0,3,12,2,5,7,3,3,7,3,10
12.3,4,4,4,9,6,5,2,3,6,3,4,4
12.4,5,3,4,3,5,2,3,3,4,4,3,4
12.5,0,4,3,3,2,7,6,5,2,2,8,6
12.6,0,4,1,3,5,5,4,3,4,2,2,4
12.7,3,7,3,5,3,1,0,3,4,3,2,4
12.8,0,8,2,3,4,6,6,2,6,3,3,5
12.9,4,1,2,2,4,5,7,4,4,2,4,4
13.0,0,4,2,2,3,5,3,4,4,3,6,9
13.1,1,1,2,5,3,3,4,6,0,2,3,3
13.2,2,2,0,2,4,3,3,6,2,6,3,3
13.3,1,5,0,1,1,2,0,3,3,4,2,2
13.4,4,2,0,3,4,3,1,3,2,2,1,1
13.5,0,3,0,1,1,0,6,3,3,6,1,2
13.6,2,2,1,2,5,0,4,1,5,2,2,2
13.7,2,0,0,1,3,0,1,4,3,2,0,0
13.8,0,1,1,0,0,0,1,1,7,1,3,2
13.9,0,0,0,2,1,1,3,1,7,5,4,3
14.0,0,0,0,1,1,0,9,0,5,4,3,2
14.1,2,2,0,0,1,1,3,0,3,6,3,0
14.2,2,3,1,0,2,0,4,0,0,2,2,2
14.3,2,2,3,0,0,2,2,3,3,1,2,1
14.4,0,3,5,0,0,1,2,2,1,1,4,4
14.5,1,3,3,2,3,2,1,2,0,0,4,2
14.6,6,2,1,1,4,3,2,4,6,1,4,2
14.7,1,2,0,1,2,2,0,2,3,4,7,0
14.8,3,0,3,1,0,6,0,2,2,4,5,3
14.9,3,0,2,0,3,4,2,2,4,4,2,4
