#Buckets,Keys 1 - rep 1,Keys 1 - rep 2,Keys 1 - rep 3,Keys 3 - rep 1,Keys 3 - rep 2,Keys 3 - rep 3,Keys 6 - rep 1,Keys 6 - rep 2,Keys 6 - rep 3,Keys 9 - rep 1,Keys 9 - rep 2,Keys 9 - rep 3
10.2,4,18,8,8,8,14,8,11,14,14,12,11
10.3,6,16,8,8,14,12,10,5,13,10,12,19
10.4,11,8,4,13,5,3,10,6,12,6,11,7
10.5,6,10,5,12,8,7,7,1,6,9,14,12
10.6,2,9,3,6,5,11,9,8,4,11,8,11
10.7,7,9,4,8,8,12,8,5,4,3,5,10
10.8,4,7,6,5,4,7,8,7,8,8,7,9
10.9,3,7,5,3,4,5,4,4,4,9,4,7
11.0,1,12,7,2,6,6,13,4,8,4,7,6
11.1,3,4,5,4,4,8,6,6,5,3,4,5
11.2,2,6,5,2,1,2,4,3,6,2,5,5
11.3,3,5,5,3,9,4,0,5,3,3,7,3
11.4,6,3,5,1,9,4,6,6,2,3,6,8
11.5,7,5,9,1,5,5,1,5,4,2,3,7
11.6,4,1,5,3,3,5,2,4,3,8,5,8
11.7,4,4,1,1,4,2,8,5,4,2,1,3
11.8,4,3,3,4,3,3,3,4,6,7,0,3
11.9,8,4,5,2,3,1,3,2,6,5,3,0
12.0,4,3,1,0,4,3,4,3,2,3,2,2
12.1,3,2,1,1,4,3,1,6,3,6,0,5
12.2,1,5,6,0,2,5,3,4,5,2,5,5
12.3,1,2,2,2,2,2,5,2,2,2,1,2
12.4,3,4,5,2,1,2,1,4,2,2,3,4
12.5,6,7,2,2,1,2,2,7,0,2,4,5
12.6,1,5,5,1,3,3,2,4,1,4,4,3
12.7,3,0,5,0,1,5,2,4,1,2,4,4
12.8,0,2,2,5,1,2,2,5,0,4,5,1
12.9,2,2,0,2,3,3,0,4,0,3,4,1
13.0,2,3,2,9,2,3,2,9,4,2,1,4
13.1,0,2,1,3,2,0,0,3,0,2,3,5
13.2,0,5,1,3,0,6,3,2,1,3,2,4
13.3,3,1,2,0,3,1,0,3,3,2,1,2
13.4,1,1,0,4,0,2,0,1,3,1,0,0
13.5,3,1,2,1,0,0,1,0,0,1,1,1
13.6,3,0,1,2,4,1,0,2,2,1,3,1
13.7,0,0,0,2,6,0,0,2,0,4,0,5
13.8,1,0,1,4,0,4,6,1,2,1,0,5
13.9,1,1,0,0,3,4,0,0,6,2,1,1
14.0,0,3,1,4,4,1,2,1,4,3,1,1
14.1,1,1,1,1,0,2,4,1,1,1,5,3
14.2,3,1,0,3,2,1,1,3,3,3,3,1
14.3,0,1,1,2,2,0,3,2,4,1,3,3
14.4,2,0,1,1,2,2,2,4,0,5,0,1
14.5,1,0,0,1,3,0,1,0,0,1,2,1
14.6,0,1,0,0,0,1,2,2,5,1,2,0
14.7,0,2,0,3,0,3,0,1,0,1,2,0
14.8,0,2,0,5,1,0,2,0,3,5,0,4
14.9,1,0,3,3,1,0,0,0,2,3,2,1
