#Buckets,Keys 1 - rep 1,Keys 1 - rep 2,Keys 1 - rep 3,Keys 3 - rep 1,Keys 3 - rep 2,Keys 3 - rep 3,Keys 6 - rep 1,Keys 6 - rep 2,Keys 6 - rep 3,Keys 9 - rep 1,Keys 9 - rep 2,Keys 9 - rep 3
10.1,10,7,8,11,6,11,14,21,12,23,14,22
10.2,6,1,10,8,6,8,15,10,9,28,13,23
10.3,6,3,4,7,4,8,6,8,6,15,15,14
10.4,10,12,9,3,7,6,16,7,7,10,14,9
10.5,5,5,8,4,10,3,6,7,7,8,16,6
10.6,4,4,8,7,2,3,7,5,4,4,16,10
10.7,3,4,7,5,10,6,6,8,9,9,9,13
10.8,3,3,2,2,7,7,6,6,3,5,8,5
10.9,5,1,7,10,3,8,5,6,5,6,3,5
11.0,8,4,4,8,4,6,5,1,9,4,7,8
11.1,3,10,3,3,8,9,5,1,6,1,10,3
11.2,1,3,3,6,8,10,7,3,5,2,7,5
11.3,1,3,5,9,4,6,1,1,4,4,2,4
11.4,2,2,4,3,11,6,8,0,2,3,4,8
11.5,1,1,4,8,3,3,3,7,2,3,6,2
11.6,5,3,2,3,3,6,3,7,6,2,3,1
11.7,3,1,6,6,2,4,2,3,1,1,2,5
11.8,1,5,6,4,3,2,3,5,1,2,1,1
11.9,2,2,3,4,6,6,3,0,3,5,3,3
12.0,1,3,4,9,4,6,6,1,0,2,5,0
12.1,1,3,2,8,5,4,3,1,3,4,3,5
12.2,3,3,1,6,4,3,1,2,3,3,3,2
12.3,2,3,7,4,3,2,3,5,2,2,0,3
12.4,2,3,2,4,1,5,3,1,1,3,2,2
12.5,0,1,5,3,2,2,5,0,2,0,2,2
12.6,2,6,2,1,5,1,2,1,3,0,2,3
12.7,0,8,1,1,4,5,4,0,3,0,2,3
12.8,3,3,2,2,2,5,1,3,5,0,3,1
12.9,1,1,1,1,2,4,1,0,0,1,1,4
13.0,0,3,2,1,1,3,1,3,2,0,3,4
13.1,2,2,0,1,3,1,2,4,0,3,2,4
13.2,1,2,0,1,2,3,2,4,2,5,4,1
13.3,1,1,0,1,1,1,2,5,3,5,0,0
13.4,2,2,0,1,2,0,3,3,2,0,0,0
13.5,1,0,1,2,1,1,3,1,4,3,1,2
13.6,1,0,0,0,3,0,2,2,4,0,0,0
13.7,0,0,0,2,0,0,0,0,3,0,3,0
13.8,0,1,1,3,1,0,1,2,4,3,4,2
13.9,0,0,0,1,1,0,7,0,3,2,2,4
14.0,1,1,0,1,0,0,2,0,2,2,0,0
14.1,0,1,0,0,1,0,2,0,0,3,2,1
14.2,1,3,1,0,1,1,0,2,3,1,2,3
14.3,0,0,4,0,0,0,1,1,2,1,3,1
14.4,1,2,3,0,3,0,2,0,0,2,2,5
14.5,2,3,1,0,0,2,2,1,4,1,2,1
14.6,0,0,0,1,5,2,0,0,1,0,5,1
14.7,0,1,0,1,0,4,0,1,2,2,3,2
14.8,2,0,4,0,3,2,1,0,3,3,2,1
14.9,2,0,0,0,1,0,1,0,1,2,0,3
