#Buckets,Keys 1 - rep 1,Keys 1 - rep 2,Keys 1 - rep 3,Keys 3 - rep 1,Keys 3 - rep 2,Keys 3 - rep 3,Keys 6 - rep 1,Keys 6 - rep 2,Keys 6 - rep 3,Keys 9 - rep 1,Keys 9 - rep 2,Keys 9 - rep 3
10.2,4,11,9,5,14,12,14,6,11,6,11,17
10.3,8,9,4,7,9,11,11,6,12,3,13,9
10.4,8,9,3,12,9,7,4,4,5,8,4,8
10.5,4,7,3,3,7,10,5,4,6,3,11,12
10.6,2,6,1,4,6,9,5,1,1,4,3,8
10.7,3,4,3,1,2,9,4,4,5,3,4,9
10.8,5,3,6,2,1,5,7,1,1,8,6,5
10.9,1,11,3,2,2,3,7,4,6,2,4,3
11.0,0,3,7,0,5,4,1,2,6,0,3,3
11.1,3,5,5,4,1,5,2,2,9,1,1,3
11.2,2,0,3,4,6,1,1,4,2,3,5,1
11.3,2,3,7,0,4,1,1,6,0,1,4,2
11.4,5,3,5,2,1,2,4,4,2,3,2,6
11.5,1,2,7,1,3,2,0,2,1,4,1,7
11.6,2,2,2,1,3,2,3,5,5,4,2,4
11.7,2,2,3,3,1,0,2,1,4,4,1,3
11.8,5,5,2,2,1,0,1,2,0,2,1,1
11.9,5,4,2,1,1,2,2,1,2,3,1,3
12.0,2,0,0,1,2,2,0,5,0,4,0,2
12.1,1,7,4,0,0,3,2,3,1,1,1,4
12.2,2,3,1,2,0,0,1,0,3,1,3,1
12.3,1,1,1,0,1,1,2,0,2,3,1,8
12.4,4,4,4,3,2,3,2,4,1,4,1,2
12.5,3,5,3,0,2,0,1,4,0,0,2,4
12.6,1,2,5,1,1,3,0,3,0,4,3,2
12.7,1,0,2,2,2,2,1,4,1,0,3,2
12.8,2,1,1,2,0,3,1,4,0,4,4,0
12.9,1,0,0,2,1,0,0,4,1,1,0,4
13.0,0,4,1,4,0,1,1,3,0,0,4,4
13.1,0,0,1,0,0,2,1,2,0,0,0,2
13.2,2,2,2,2,0,3,2,3,1,1,2,1
13.3,1,0,0,3,0,0,1,1,1,1,0,1
13.4,1,1,0,1,0,2,0,0,0,2,0,0
13.5,2,0,0,1,0,0,0,2,0,0,2,1
13.6,3,0,0,1,4,0,0,0,0,1,0,3
13.7,1,1,0,2,0,1,3,1,1,2,1,2
13.8,1,0,0,0,2,2,1,0,2,0,0,1
13.9,0,0,0,2,1,3,0,0,3,1,1,1
14.0,0,1,0,3,0,1,1,1,0,2,1,2
14.1,0,1,0,2,2,0,1,1,0,2,2,0
14.2,0,0,0,2,1,0,1,1,4,3,5,1
14.3,1,0,0,1,1,1,0,4,1,0,0,2
14.4,2,0,0,0,0,0,1,0,1,1,1,1
14.5,0,0,0,0,2,2,2,0,1,1,2,1
14.6,0,3,0,1,0,3,0,1,2,0,0,1
14.7,0,1,0,1,2,0,1,0,2,2,0,3
14.8,0,0,3,4,0,0,0,0,1,1,0,0
14.9,2,0,1,3,1,0,1,0,7,0,2,0
